key	en	fr
discordOptional	Discord handle optional	Pseudo Discord optionnel
micRequired	Mic required	Micro requis
postButton	Post	Publier
showInterest	Show Interest	Montrer l'intérêt
writeShortMessage	Write a short message...	Écris un court message...
sendInterest	Send Interest	Envoyer l'intérêt
anyPlatform	Any platform	Toute plateforme
availabilityOpen	Availability open	Disponibilité ouverte
micOptional	Mic optional	Micro optionnel
verifiedPreferred	Verified players preferred. Unverified players may need identity review before acceptance.	Joueurs vérifiés préférés. Les joueurs non vérifiés peuvent nécessiter une vérification d'identité.
viewClub	View Club	Voir club
viewProfile	View Profile	Voir profil
offerContract	Offer Contract	Offrir contrat
close	Close	Fermer
reopen	Reopen	Réouvrir
cancel	Cancel	Annuler
loading	Loading...	Chargement...
getStarted	Get Started	Commencer
complete	Complete	Compléter
learnMore	Learn more	En savoir plus
notifTitle	Notifications	Notifications
notifMarkAllRead	Mark all read	Tout marquer comme lu
notifDeleteAll	Delete all	Tout supprimer
notifDeleteAllConfirmTitle	Delete all notifications?	Supprimer toutes les notifications ?
notifDeleteAllConfirmDesc	This will permanently delete all {count} notifications. This cannot be undone.	Cela supprimera définitivement les {count} notifications. Action irréversible.
notifEmpty	No notifications yet	Aucune notification
notifMarkAsRead	Mark as read	Marquer comme lu
homeMobileWelcomeBack	Welcome back	Bon retour
homeMobileWelcome	Welcome	Bienvenue
homeMobileNextMatch	Next up	Prochain match
homeMobileOpenGameDay	Open Game Day	Ouvrir Match Day
homeMobileNoMatchHint	No match scheduled yet — open Game Day to schedule or play.	Aucun match programmé — ouvre Match Day pour planifier ou jouer.
homeMobileDiscover	Discover	Découvrir
homeMobileSeeSchedule	Full schedule	Calendrier complet
dashboardGuest	Player	Joueur
dashboardVerified	Verified	Vérifié
dashboardViewRankings	Rankings	Classements
dashboardViewProfile	My profile	Mon profil
dashboardSetupTitle	Complete your player profile	Complète ton profil joueur
dashboardSetupDesc	Create your gamertag and position to unlock rankings, matches and club play.	Crée ton gamertag et ton poste pour débloquer classements, matchs et club.
dashboardSetupCta	Set up profile	Configurer le profil
dashboardGlobalRank	Global rank	Rang global
dashboardRecord	Record	Bilan
dashboardWinRate	WR	Victoires
dashboardMatchesPlayed	Matches	Matchs
dashboardGoals	goals	buts
dashboardAvgRating	Avg rating	Note moy.
dashboardRankedOnly	Ranked matches	Matchs classés
dashboardNextMatch	Next opponent	Prochain adversaire
dashboardNoNextMatch	No fixture yet	Aucun match
dashboardNoNextMatchHint	Open Game Day to schedule or join a match.	Ouvre Match Day pour planifier ou rejoindre un match.
dashboardOpenGameDay	Open Game Day	Ouvrir Match Day
dashboardSeeSchedule	Schedule	Calendrier
dashboardMyClub	My club	Mon club
dashboardNoClub	You are not in a club yet.	Tu n'es dans aucun club.
dashboardFindClub	Browse clubs	Parcourir les clubs
dashboardUpcoming	Coming up	À suivre
dashboardActiveTournaments	My tournaments	Mes tournois
dashboardLeagueStandings	League position	Position en ligue
dashboardNoCompetitions	Not registered in any active tournament.	Inscrit à aucun tournoi actif.
dashboardNoLeague	No active league standing for your club.	Aucun classement de ligue actif pour ton club.
dashboardPosition	Position	Position
dashboardPlayed	played	joués
dashboardWelcomeHint	News, competitions and platform info live on the welcome page.	News, compétitions et infos plateforme sont sur la page d'accueil.
dashboardGoWelcome	Welcome page	Page d'accueil
dashboardActivity	Activity	Activité
dashboardRatingTrend	Rating — last matches	Note — derniers matchs
dashboardWeeklyMatches	Matches per week	Matchs par semaine
dashboardActivityEmpty	No recorded match stats yet. Play ranked or club matches to build your chart.	Aucune stat enregistrée. Joue des matchs classés ou club pour alimenter le graphique.
dashboardClubStats	Club stats	Stats club
dashboardObjectives	Objectives	Objectifs
dashboardObjectivesDesc	Daily and weekly challenges. Claim STC when complete.	Défis daily et weekly. Réclame tes STC une fois complétés.
dashboardObjectivesLoading	Loading objectives…	Chargement des objectifs…
dashboardObjectivesEmpty	No active objectives right now.	Aucun objectif actif pour le moment.
dashboardObjectivesError	Could not load objectives.	Impossible de charger les objectifs.
dashboardObjectivesClaimError	Could not claim reward.	Impossible de réclamer la récompense.
dashboardObjectivesReward	Reward	Récompense
dashboardObjectivesClaimed	Claimed	Réclamé
dashboardObjectivesClaim	Claim	Réclamer
dashboardObjectivesClaiming	Claiming…	Réclamation…
dashboardObjectivesInProgress	In progress	En cours
dashboardMatchesThisMonth	This month	Ce mois
dashboardThisWeek	this week	cette semaine
dashboardMemberSince	On STAGE	Sur STAGE
dashboardAtClub	at club	au club
dashboardTrackedMatches	tracked matches	matchs suivis
dashboardContract	Contract	Contrat
dashboardGamesLeft	games left	matchs restants
dashboardNoContract	No active contract	Aucun contrat actif
dashboardContractGames	Contract games	Matchs contrat
dashboardActivityLevel	Activity	Activité
dashboardActivityHigh	High	Élevée
dashboardActivityMedium	Steady	Régulière
dashboardActivityLow	Quiet	Calme
dashboardLast30Days	in last 30 days	sur 30 jours
dashboardEafcTitle	EA Pro Clubs	EA Pro Clubs
dashboardEafcDesc	Link your real Pro Clubs team to show live EA stats on your dashboard.	Lie ton vrai club Pro Clubs pour afficher tes stats EA sur le dashboard.
dashboardEafcClub	Pro Club	Club Pro
dashboardEafcView	Full view	Vue complète
dashboardEafcUnlink	Unlink club	Dissocier le club
dashboardEafcSearchPlaceholder	Search Pro Clubs name…	Rechercher un club Pro Clubs…
dashboardEafcNoResults	No clubs found on EA.	Aucun club trouvé sur EA.
dashboardEafcSearchError	EA search failed.	Recherche EA échouée.
dashboardEafcLinkError	Could not save club link.	Impossible d'enregistrer le lien club.
dashboardEafcMembers	members	membres
dashboardEafcStatsUnavailable	Linked — EA stats temporarily unavailable.	Lié — stats EA temporairement indisponibles.
dashboardFutTitle	Ultimate Team	Ultimate Team
dashboardFutDesc	Log your FUT matches to track form outside STAGE competitions.	Enregistre tes matchs FUT pour suivre ta forme hors compétitions STAGE.
dashboardFutLogMatch	Log match	Ajouter un match
dashboardFutWins	Wins	Victoires
dashboardFutDraws	Draws	Nuls
dashboardFutLosses	Losses	Défaites
dashboardFutPlayedAt	Played at	Joué le
dashboardFutResult	Result	Résultat
dashboardFutWin	Win	Victoire
dashboardFutDraw	Draw	Nul
dashboardFutLoss	Loss	Défaite
dashboardFutMode	Mode	Mode
dashboardFutRivals	Rivals	Rivals
dashboardFutChampions	Champions	Champions
dashboardFutFriendly	Friendly	Amical
dashboardFutSquadBattles	Squad Battles	Batailles d'équipes
dashboardFutGoalsFor	Goals for	Buts pour
dashboardFutGoalsAgainst	Goals against	Buts contre
dashboardFutOpponent	Opponent note	Note adversaire
dashboardFutOpponentPlaceholder	Team name or note (optional)	Nom d'équipe ou note (optionnel)
dashboardFutSave	Save match	Enregistrer
dashboardFutSaveError	Could not save match.	Impossible d'enregistrer le match.
dashboardFutDeleteError	Could not delete match.	Impossible de supprimer le match.
dashboardFutEmpty	No FUT matches logged yet.	Aucun match FUT enregistré.
dashboardGlanceStc	STC balance	Solde STC
dashboardGlanceCredits	Credits	Crédits
dashboardGlanceInbox	Unread inbox	Messages non lus
dashboardGlanceAlerts	Unread alerts	Alertes non lues
dashboardRecentForm	Recent form	Forme récente
dashboardStageForm	STAGE results	Résultats STAGE
dashboardStageFormEmpty	No completed STAGE matches yet.	Aucun match STAGE terminé.
dashboardRatingForm	Match ratings	Notes de match
dashboardRatingFormEmpty	No recorded ratings yet.	Aucune note enregistrée.
dashboardFutForm	FUT results	Résultats FUT
dashboardFutFormEmpty	Log FUT matches to build form.	Enregistre des matchs FUT pour voir ta forme.
dashboardFutActivity	FUT activity	Activité FUT
dashboardFutChartEmpty	Log FUT matches to see weekly trends.	Enregistre des matchs FUT pour voir les tendances.
dashboardEafcYou	You in club	Toi au club
dashboardEafcGames	games	matchs
dashboardLayoutEdit	Customize layout	Personnaliser
dashboardLayoutDone	Done	Terminer
dashboardLayoutHint	Drag widgets to reorder. Remove with ×, add hidden blocks below.	Glisse les blocs pour les réordonner. Retire avec ×, rajoute ceux masqués ci-dessous.
dashboardLayoutReset	Reset layout	Réinitialiser
dashboardLayoutAllVisible	All widgets visible	Tous les blocs visibles
dashboardWidgetGlance	Wallet & inbox	Portefeuille & inbox
dashboardWidgetStats	Key stats	Stats clés
dashboardWidgetForm	Recent form	Forme récente
dashboardWidgetNextMatch	Next match & club	Prochain match & club
dashboardWidgetUpcoming	Upcoming fixtures	Matchs à venir
dashboardWidgetActivity	Activity & objectives	Activité & objectifs
dashboardWidgetCompetitions	Tournaments & league	Tournois & ligue
dashboardWidgetFutEafc	FUT chart & EA club	Graph FUT & club EA
dashboardWidgetFutLog	FUT match log	Journal FUT
homeCompetitions	Competitions	Compétitions
homeTournaments	Tournaments	Tournois
homeLeagues	Leagues	Ligues
homeTier	Tier {tier}	Palier {tier}
homeViewBracket	View bracket	Voir le tableau
homePlayers	{count}/{max} players	{count}/{max} joueurs
homeFull	Full	Complet
homeViewDetails	View details	Voir les détails
homeNoTournaments	No tournaments yet.	Aucun tournoi pour le moment.
homeNoLeagues	No leagues yet.	Aucune ligue pour le moment.
homePlatform	Platform	Plateforme
homeViewAll	View all	Voir tout
homeLatest	Latest	Dernières
homeAllNews	All news	Toutes les news
homeUpcoming	Upcoming	À venir
homeSchedule	Schedule	Calendrier
homeScheduleDesc	Track every fixture across all competitions. Game Day is where it all happens.	Suis chaque match de toutes les compétitions. Le Match Day, c'est là que tout se joue.
homeGameDay	Game Day	Match Day
homeNoMatches	No upcoming matches scheduled.	Aucun match programmé.
homeMessages	Messages	Messages
homeOpen	Open	Ouvrir
homeSignInMessages	Sign in to view your messages.	Connecte-toi pour voir tes messages.
homeInboxEmpty	Your inbox is empty.	Ta boîte de réception est vide.
homeStageSystem	STAGE System	Système STAGE
homeUnknown	Unknown	Inconnu
homeJumpIn	Jump In	Se lancer
homeJumpInDesc	Everything you need, one tap away.	Tout ce qu'il te faut, à portée de clic.
homeNavCompetitions	Competitions	Compétitions
homeNavCompetitionsDesc	Leagues & knockout cups	Ligues et coupes à élimination
homeNavGameDay	Game Day	Match Day
homeNavGameDayDesc	Schedule & play matches	Planifie et joue tes matchs
homeNavClubs	Clubs	Clubs
homeNavClubsDesc	Browse & manage clubs	Parcours et gère les clubs
homeNavStore	Store	Boutique
homeNavStoreDesc	Spend your STC coins	Dépense tes STC
homeFooterRankings	Rankings	Classements
homeQuestions	Questions	Questions
homeFaq	FAQ	FAQ
homeFaqDesc	Common questions about the platform.	Questions fréquentes sur la plateforme.
homeContact	Contact	Contact
homeRights	All rights reserved.	Tous droits réservés.
profEditProfile	Edit Profile	Modifier le profil
profWelcome	Welcome to STAGE!	Bienvenue sur STAGE !
profWelcomeDesc	Create your player profile to get started.	Crée ton profil joueur pour commencer.
profCreateProfile	Create Profile	Créer le profil
profNotPlayer	You're not a player yet	Tu n'es pas encore joueur
profNotPlayerDesc	Finish your player profile (gamertag, position, platform) to appear in clubs, matches and rankings.	Termine ton profil joueur (gamertag, poste, plateforme) pour apparaître dans les clubs, matchs et classements.
profNotClub	You're not in a club yet	Tu n'es dans aucun club
profNotClubDesc	Create your own club or join an existing one to compete in tournaments and leagues.	Crée ton propre club ou rejoins-en un pour participer aux tournois et ligues.
profWins	Wins	Victoires
profLosses	Losses	Défaites
profAvgRating	Avg Rating	Note moy.
profMotm	MOTM	Homme du match
profCleanSheets	Clean Sheets	Clean sheets
profTrophies	Trophies	Trophées
profNoPvp	No PvP matches recorded yet.	Aucun match PvP enregistré.
profIdentityVerified	Identity verified	Identité vérifiée
profIdentityVerifiedDesc	This profile has been reviewed by STAGE staff and linked to {handle}.	Ce profil a été vérifié par le staff STAGE et lié à {handle}.
profAPlatformIdentity	a platform identity	une identité de plateforme
profIdentityReview	Identity claim under review	Demande d'identité en cours d'examen
profClaimIdentity	Claim your player identity	Revendique ton identité de joueur
profClaimIdentityDesc	Link your STAGE profile to your console or EA identity so clubs know this is really you.	Lie ton profil STAGE à ton identité console ou EA pour que les clubs sachent que c'est bien toi.
profHandlePlaceholder	PSN / Xbox / EA handle	Pseudo PSN / Xbox / EA
profEaIdPlaceholder	EA ID (optional)	EA ID (optionnel)
profDiscordPlaceholder	Discord handle (optional)	Pseudo Discord (optionnel)
profProofPlaceholder	Proof link: screenshot, clip, or profile URL (optional)	Lien de preuve : capture, clip ou URL de profil (optionnel)
profNotesPlaceholder	Anything admins should know?	Quelque chose à signaler aux admins ?
profSubmitClaim	Submit Claim	Envoyer la demande
gamerTabCareer	Career	Carrière
gamerAttributes	Player Attributes	Attributs joueur
profTab_posts	Posts	Posts
profTab_stats	Stats	Stats
profTab_matches	Matches	Matchs
profTab_trophies	Trophies	Trophées
profPhotoBanner	Profile Photo & Banner	Photo de profil & bannière
profUploadPhoto	Upload photo	Importer une photo
profRepositionPhoto	Reposition Photo	Repositionner la photo
profChangeBanner	Change Banner	Changer la bannière
profPlayerInfo	Player Info	Infos joueur
profGamertag	Gamertag	Gamertag
profGamertagPlaceholder	Your gamertag	Ton gamertag
profMainPosition	Main Position	Poste principal
profSecondPosition	Second Position	Poste secondaire
profNone	None	Aucun
profSelectCountry	Select your country	Sélectionne ton pays
profCountryRequired	Please select your country	Sélectionne ton pays
profOverallRating	Overall Rating	Note globale
profShirtNumber	Shirt Number	Numéro de maillot
profAccountEmail	Account Email	E-mail du compte
profBioPlaceholder	Tell the community about yourself...	Parle de toi à la communauté...
profSaving	Saving...	Enregistrement...
profSaveChanges	Save Changes	Enregistrer
profViewClubPage	View Club Page	Voir la page du club
profEditClub	Edit Club	Modifier le club
profLeaveClub	Leave Club	Quitter le club
profCreateOrJoin	Create or Join a Club	Créer ou rejoindre un club
profClubName	Club Name	Nom du club
profTag	Tag (max 5 chars)	Tag (max 5 car.)
profRegion	Region	Région
profSelectCountryShort	Select country	Sélectionne un pays
profClubDesc	Club Bio / Description	Bio / description du club
profClubDescPlaceholder	Describe your club...	Décris ton club...
profSaveClub	Save Club	Enregistrer le club
profJoinRequests	Join Requests	Demandes d'adhésion
profApprovalsNote	Approvals now happen through contract offers in Club Operations.	Les approbations passent désormais par les offres de contrat dans Club Operations.
profOperations	Operations	Operations
profDecline	Decline	Refuser
storeSubtitle	Customize your profile and club with exclusive items	Personnalise ton profil et ton club avec des objets exclusifs
storePlayer	Player	Joueur
storeCreditsWord	credits	crédits
storeClubCredits	club credits	crédits club
storeStageCredits	STAGE Credits	Crédits STAGE
storeCurrentPlan	Current Plan	Offre actuelle
storeTabCredits	Credits	Crédits
storeTabSubscriptions	Subscriptions	Abonnements
storePlusHeadline	STAGE Plus unlocks the full competition loop	STAGE Plus débloque tout le circuit compétitif
storePlusDesc	Free accounts start with {credits} credits. After that, Plus unlocks tournament creation, official competition access, ranked play, and a monthly credit refresh.	Les comptes gratuits démarrent avec {credits} crédits. Ensuite, Plus débloque la création de tournois, l'accès aux compétitions officielles, le mode classé et une recharge mensuelle de crédits.
storeCreditsAmount	{amount} credits	{amount} crédits
storeTournamentsAmount	{amount} tournaments	{amount} tournois
storeMonthlyRefresh	Monthly allowance refresh, not stacked	Recharge mensuelle, non cumulable
storeEntryCost	Standard tournament entry cost	Coût d'inscription standard à un tournoi
storeActiveSlots	Active community tournament slots	Places de tournois communautaires actifs
storeViewPlus	View STAGE Plus	Voir STAGE Plus
storeMonthly	Monthly	Mensuel
storeYearly	Yearly	Annuel
storeSave25	Save 25%	-25 %
storeExpires	Expires:	Expire le :
storeFreeAccount	Free Account	Compte gratuit
storeStartWith	Start with {credits} credits	Démarre avec {credits} crédits
storeFreeDesc	Enough for one tournament entry. Credit packs stay available for extra entries or club spending without changing your subscription.	Suffisant pour une inscription à un tournoi. Les packs de crédits restent disponibles pour d'autres inscriptions ou dépenses de club sans changer ton abonnement.
storeStarterCredits	Starter credits	Crédits de départ
storeTournamentEntry	Tournament entry	Inscription tournoi
storeBuyCreditsSeparately	Buy Credits Separately	Acheter des crédits séparément
storeBuy	Buy	Acheter
storeYear	year	an
storeMonth	month	mois
storeMonthlyCredits	Monthly credits	Crédits mensuels
storeEntryCostShort	Entry cost	Coût d'entrée
storeActiveEvents	Active events	Événements actifs
storeAvailableAfter	Available after {date}	Disponible après le {date}
storeSubscribe	Subscribe	S'abonner
storeYrShort	yr	an
storeMoShort	mo	mois
communitySubtitle	Stage League on Discord — free for every player and club	Stage League sur Discord — gratuit pour chaque joueur et club
discNotConfigured	Discord link is not set up yet. Ask an admin to add invite settings.	Le lien Discord n'est pas encore configuré. Demande à un admin d'ajouter les paramètres d'invitation.
discJoinTitle	Join our Discord	Rejoins notre Discord
discBannerDesc	Free to join — meet players, get match updates, and find your next club.	Gratuit — rencontre des joueurs, reçois les infos de match et trouve ton prochain club.
discJoinDiscord	Join Discord	Rejoindre Discord
discNotNow	Not now	Plus tard
discServerName	Stage League Discord	Discord Stage League
discCompactJoined	You're set — hop in anytime from Community.	C'est bon — rejoins quand tu veux depuis Community.
discCompactCta	Join competitors on Discord.	Rejoins les compétiteurs sur Discord.
discJoinServer	Join server	Rejoindre le serveur
discOpenCommunity	Open Community	Ouvrir Community
discOnboardTitle	Join the community	Rejoins la communauté
discOnboardDesc	Almost done! Discord is where players find clubs and get league news. Join now or later from Community in the menu.	Presque fini ! Discord, c'est là que les joueurs trouvent des clubs et suivent l'actu de la ligue. Rejoins maintenant ou plus tard depuis Community dans le menu.
discServerPreview	Server preview	Aperçu du serveur
discContinue	Continue to STAGE →	Continuer vers STAGE →
discAlreadyJoined	I already joined	J'ai déjà rejoint
discSkipForNow	Skip for now	Passer pour l'instant
discOfficialServer	Official server	Serveur officiel
discFullTitle	Your home off the pitch	Ta maison en dehors du terrain
discFullDesc	Discord is free and takes under a minute. Join to chat with clubs, get match updates, and stay connected — whether you signed up today or joined months ago.	Discord est gratuit et prend moins d'une minute. Rejoins pour discuter avec les clubs, recevoir les infos de match et rester connecté — que tu viennes de t'inscrire ou que tu sois là depuis des mois.
discStep1	Click Join Discord — opens in a new tab	Clique sur Rejoindre Discord — s'ouvre dans un nouvel onglet
discStep2	Create a Discord account or sign in (free)	Crée un compte Discord ou connecte-toi (gratuit)
discStep3	Accept the invite and pick your channels	Accepte l'invitation et choisis tes salons
discOpenAgain	Open Discord again	Rouvrir Discord
discJoinFree	Join Discord — it's free	Rejoindre Discord — c'est gratuit
discAlreadyInServer	I'm already in the server	Je suis déjà sur le serveur
discLivePreview	Live preview	Aperçu en direct
discBenefit1	Find clubs, players, and scrims fast	Trouve clubs, joueurs et scrims rapidement
discBenefit2	League announcements and match reminders	Annonces de la ligue et rappels de match
discBenefit3	Talk tactics, transfers, and highlights	Parle tactique, transferts et highlights
discBenefit4	Get help from staff and the community	Obtiens de l'aide du staff et de la communauté
landHeroYour	Your	Ta
landHeroStage	Stage	Scène
landHeroAwaits	Awaits	T'attend
landGetStarted	Get Started — It's Free	Commencer — c'est gratuit
landScroll	Scroll	Défiler
landEverything	Everything you need	Tout ce qu'il te faut
landOnePlatform	One Platform.	Une plateforme.
landEveryFeature	Every Feature.	Toutes les fonctions.
landGetStartedMinutes	Get started in minutes	Commence en quelques minutes
landHowItWorks	How It Works	Comment ça marche
landJoinCommunity	Join the community	Rejoins la communauté
landReadyTo	Ready to	Prêt à
landCompete	Compete?	Concourir ?
landCtaDesc	Thousands of players and clubs are already active. Sign up free and find your competition.	Des milliers de joueurs et de clubs sont déjà actifs. Inscris-toi gratuitement et trouve ta compétition.
landStartPlaying	Start Playing Now	Commencer à jouer
landSignInArrow	Sign In →	Se connecter →
landFeat1Title	Competitions & Leagues	Compétitions & ligues
landFeat1Desc	Enter structured regional leagues and knockout competitions. Every season has standings, match days, and a champion crowned at the final whistle.	Participe à des ligues régionales structurées et à des compétitions à élimination. Chaque saison a son classement, ses journées de match et un champion sacré au coup de sifflet final.
landFeat2Title	Club Management	Gestion de club
landFeat2Desc	Found your club, set your formation, manage your wage budget, upgrade your stadium, and build a legacy across multiple seasons.	Fonde ton club, choisis ta formation, gère ton budget salarial, améliore ton stade et bâtis une légende au fil des saisons.
landFeat3Title	Game Day	Match Day
landFeat3Desc	Schedule matches, submit scores, and track every result in real time. Your club's form, streaks, and standings update instantly.	Planifie les matchs, soumets les scores et suis chaque résultat en temps réel. La forme, les séries et le classement de ton club se mettent à jour instantanément.
landFeat4Title	Player Contracts	Contrats joueurs
landFeat4Desc	Sign to a club on a formal contract with wages, bonuses, and release clauses — just like the real game.	Signe dans un club via un vrai contrat avec salaire, primes et clauses libératoires — comme dans le jeu.
landFeat5Title	Transfer Market	Marché des transferts
landFeat5Desc	Buy and sell players during transfer windows. Negotiate fees, wages, and bonuses with clubs across the platform.	Achète et vends des joueurs pendant les mercatos. Négocie indemnités, salaires et primes avec les clubs de la plateforme.
landFeat6Title	Rankings & Live Stats	Classements & stats en direct
